"Site","focsp","g_source","g_alpha_final","g_beta_final","g_mean_final"
"BEN","TRCY","direct",4,58,0.0645161290322581
"CS","TRCY","weak",1.01767676767677,2.98232323232323,0.254419191919192
"GH","TRCY","weak",1.01767676767677,2.98232323232323,0.254419191919192
"NAM","TRCY","weak",1.01767676767677,2.98232323232323,0.254419191919192
"PJ","TRCY","direct",401,1125,0.262778505897772
"BEN","TROR","direct",15,77,0.16304347826087
"CS","TROR","weak",1.08459383753501,2.91540616246499,0.271148459383753
"GH","TROR","weak",1.08459383753501,2.91540616246499,0.271148459383753
"NAM","TROR","weak",1.08459383753501,2.91540616246499,0.271148459383753
"PJ","TROR","direct",471,1226,0.2775486152033
