"location","researcher","field_chambers","sp_code","n"
"Perenjori","Isaac_Towers","field","TROR",96
"Perenjori","Isaac_Towers","field","TRCY",92
"Kings_Park","John_Dwyer_and Todd_Erickson","chambers","TROR",62
"UQ","Delphia_Manietta","chambers","TROR",60
"Kings_Park","John_Dwyer_and Todd_Erickson","chambers","TRCY",56
"Kings_Park","Isaac_Towers","chambers","TRCY",40
"Kings_Park","Isaac_Towers","chambers","TROR",40
"Perenjori","Maia_Raymundo","field","TRCY",30
"Perenjori","Maia_Raymundo","field","TROR",30
"Perenjori","Trace_Martyn","field","TRCY",19
"Perenjori","Trace_Martyn","field","TROR",19
"Kunjin","Claire_Wainwright","field","TRCY",5
"Kunjin","Claire_Wainwright","field","TROR",5
"Kunjin","Hao_Ran","field","TRCY",5
"Perenjori","Claire_Wainwright","field","TRCY",5
"Perenjori","Claire_Wainwright","field","TROR",5
"Kunjin","Hao_Ran","field","TROR",4
