"Site","focsp","g_input_mean","g_draw_med","g_draw_lwr","g_draw_upr"
"BEN","TRCY",0.0645161290322581,0.0601306282731826,0.0182226333637872,0.139473519741715
"GH","TRCY",0.254419191919192,0.207387147399863,0.00889594060704598,0.71754629272816
"NAM","TRCY",0.254419191919192,0.209503778096026,0.00904346526414406,0.718298134139451
"PJ","TRCY",0.262778505897772,0.262645016997652,0.241073287451283,0.285053596262565
"CS","TRCY",0.254419191919192,0.212122931058332,0.0089819528220494,0.711391227479616
"BEN","TROR",0.16304347826087,0.160340487007873,0.0944333553723424,0.243514381876285
"GH","TROR",0.271148459383753,0.232756373882974,0.0119559050731763,0.725535232249869
"NAM","TROR",0.271148459383753,0.23341100542971,0.012369313201176,0.732679972596743
"PJ","TROR",0.2775486152033,0.277814044105769,0.256767618511331,0.299696749012798
"CS","TROR",0.271148459383753,0.230920033617737,0.0111318149346985,0.73766112715325
